title,company,location,is_wfh,stipend,stipend_min,stipend_max,duration,posted,link
Marketing,Careers360,Work from home,Yes,"₹ 15,150 lump sum",15150,15150,N/A,N/A,https://internshala.com/internship/detail/work-from-home-marketing-internship-at-careers3601777008002
Social Media Community & Growth Associate,StoryMirror Infotech Private Limited,Mumbai,No,"₹ 8,000 - 12,000 /month",8000,12000,N/A,N/A,https://internshala.com/internship/detail/social-media-community-growth-associate-internship-in-mumbai-at-storymirror-infotech-private-limited1776929634
Human Resources (HR),Absolute People Screen Private Limited,"Faridabad, Ghaziabad, Gurgaon, Delhi, Noida, Najafgarh",No,"₹ 11,000 - 14,000 /month",11000,14000,N/A,N/A,https://internshala.com/internship/detail/human-resources-hr-internship-in-multiple-locations-at-absolute-people-screen-private-limited1776920132
Business Development (Sales),Unibridges,Delhi,No,"₹ 28,000 - 35,000 lump sum",28000,35000,N/A,N/A,https://internshala.com/internship/detail/business-development-sales-internship-in-delhi-at-unibridges1776947067
Law/Legal,JPL Legal,Delhi,No,"₹ 2,000 /month",2000,2000,N/A,N/A,https://internshala.com/internship/detail/law-legal-internship-in-delhi-at-jpl-legal1776855044
Telecalling,Unibridges,Delhi,No,"₹ 7,500 - 12,000 /month",7500,12000,N/A,N/A,https://internshala.com/internship/detail/telecalling-internship-in-delhi-at-unibridges1776945333
Campus Ambassador,AuroSkill Ventures Private Limited,Bangalore,No,Performance Based,0,0,N/A,N/A,https://internshala.com/internship/detail/campus-ambassador-programme-at-auroskill-ventures-private-limited1776754599
Chief Fundraising Officer,I Educate Myself Daily Foundation,Kolkata,No,"₹ 95,000 - 1,00,000 /month",95000,100000,N/A,N/A,https://internshala.com/internship/detail/chief-fundraising-officer-internship-in-kolkata-at-i-educate-myself-daily-foundation1776763147
Telecalling,Fusion Beauty,"Delhi, Noida",No,"₹ 10,000 - 15,000 /month",10000,15000,N/A,N/A,https://internshala.com/internship/detail/telecalling-internship-in-multiple-locations-at-fusion-beauty1776781546
Production Development,Rever Industries,Nashik,No,"₹ 6,000 - 10,000 /month",6000,10000,N/A,N/A,https://internshala.com/internship/detail/production-development-internship-in-nashik-at-rever-industries1777003637
Creative/Production/Marketing,Red Chillies Entertainments,Mumbai,No,"₹ 10,000 - 15,000 /month",10000,15000,N/A,N/A,https://internshala.com/internship/detail/creative-production-marketing-internship-in-mumbai-at-red-chillies-entertainments1777003492
English - Subject Matter Expert (SME),Arihant Publications,"Delhi, Ghaziabad, Noida",No,"₹ 10,000 - 12,000 /month",10000,12000,N/A,N/A,https://internshala.com/internship/detail/english-subject-matter-expert-sme-internship-in-multiple-locations-at-arihant-publications1776830532
Science - Subject Matter Expert (SME),Arihant Publications,"Delhi, Ghaziabad, Noida",No,"₹ 8,000 - 12,000 /month",8000,12000,N/A,N/A,https://internshala.com/internship/detail/science-subject-matter-expert-sme-internship-in-multiple-locations-at-arihant-publications1776830483
Hindi - Subject Matter Expert (SME),Arihant Publications,"Delhi, Ghaziabad, Noida",No,"₹ 10,000 - 12,000 /month",10000,12000,N/A,N/A,https://internshala.com/internship/detail/hindi-subject-matter-expert-sme-internship-in-multiple-locations-at-arihant-publications1776830722
Social Studies - Subject Matter Expert (SME),Arihant Publications,"Delhi, Ghaziabad, Noida",No,"₹ 10,000 - 12,000 /month",10000,12000,N/A,N/A,https://internshala.com/internship/detail/social-studies-subject-matter-expert-sme-internship-in-multiple-locations-at-arihant-publications1776830507
Maths - Subject Matter Expert (SME),Arihant Publications,"Delhi, Ghaziabad, Noida",No,"₹ 10,000 - 12,000 /month",10000,12000,N/A,N/A,https://internshala.com/internship/detail/maths-subject-matter-expert-sme-internship-in-multiple-locations-at-arihant-publications1776830453
"Research - Mangrove Conservation Project, WWF-India, MSO",WWF-India,"Palghar, Thane, Navi Mumbai, Mumbai",No,"₹ 8,000 - 10,000 /month",8000,10000,N/A,N/A,https://internshala.com/internship/detail/research-mangrove-conservation-project-wwf-india-mso-internship-in-multiple-locations-at-wwf-india1776851261
Car Expert,Cars24 Services Private Limited,"Faridabad, Delhi",No,"₹ 10,000 - 15,000 /month",10000,15000,N/A,N/A,https://internshala.com/internship/detail/car-expert-internship-in-multiple-locations-at-cars24-services-private-limited1776852395
Marketing,W&D Lifestyle Private Limited,"Pune, Mumbai",No,"₹ 10,000 - 15,000 /month",10000,15000,N/A,N/A,https://internshala.com/internship/detail/part-time-marketing-internship-in-multiple-locations-at-malpani-group1776953149
CRM-Possession Executive,TATA Realty And Infrastructure Limited,Bahadurgarh,No,"₹ 15,000 - 25,000 /month",15000,25000,N/A,N/A,https://internshala.com/internship/detail/crm-possession-executive-internship-in-bahadurgarh-at-tata-realty-and-infrastructure-limited1776951148
Human Resources (HR),Job Mantra,Patna,No,"₹ 7,500 - 30,000 /month",7500,30000,N/A,N/A,https://internshala.com/internship/detail/human-resources-hr-internship-in-patna-at-job-mantra1776927252
Social Media Marketing,Anshuman Tours And Travel,"Ghaziabad, Greater Noida, Noida",No,"₹ 8,000 - 15,000 /month",8000,15000,N/A,N/A,https://internshala.com/internship/detail/part-time-social-media-marketing-internship-in-multiple-locations-at-anshuman-tours-and-travel1776848182
Mechanical Engineering,Spacewood Furnishers Pvt Ltd,Nagpur,No,"₹ 16,500 - 20,500 /month",16500,20500,N/A,N/A,https://internshala.com/internship/detail/mechanical-engineering-internship-in-nagpur-at-spacewood-furnishers-pvt-ltd1776847953
E-Commerce Listing,JADES,Mumbai,No,"₹ 6,000 - 8,000 /month",6000,8000,N/A,N/A,https://internshala.com/internship/detail/e-commerce-listing-internship-in-mumbai-at-jades1776835149
Business Development (Sales),Stellar Innovations Private Limited,Bangalore,No,"₹ 10,000 /month",10000,10000,N/A,N/A,https://internshala.com/internship/detail/business-development-sales-internship-in-bangalore-at-stellar-innovations-private-limited1776831930
Marketing,Pittie Group,Navi Mumbai,No,"₹ 4,000 - 7,000 /month",4000,7000,N/A,N/A,https://internshala.com/internship/detail/marketing-internship-in-navi-mumbai-at-pittie-group1776769198
Video Editing/Making,Square Business Services Pvt Ltd,Hyderabad,No,"₹ 10,000 - 15,000 /month",10000,15000,N/A,N/A,https://internshala.com/internship/detail/video-editing-making-internship-in-hyderabad-at-square-business-services-pvt-ltd1776758510
Digital Marketing,Me1 Marketing,Varanasi,No,"₹ 5,000 - 8,000 /month",5000,8000,N/A,N/A,https://internshala.com/internship/detail/digital-marketing-internship-in-varanasi-at-me1-marketing1776654059
Training Facilitator – Investment Banking,Institute Of Digital Risk,Work from home,Yes,"₹ 15,000 - 25,000 /month",15000,25000,N/A,N/A,https://internshala.com/internship/detail/work-from-home-training-facilitator--investment-banking-internship-at-institute-of-digital-risk1777024319
Artificial Intelligence (AI),Zycus InfoTech,Mumbai,No,"₹ 25,000 /month",25000,25000,N/A,N/A,https://internshala.com/internship/detail/artificial-intelligence-ai-internship-in-mumbai-at-zycus-infotech1777012321
Sales,Angel One (AP),Work from home,Yes,"₹ 2,000 - 20,000 /month",2000,20000,N/A,N/A,https://internshala.com/internship/detail/work-from-home-part-time-sales-internship-at-angel-one-ap1776935730
Business Development (Sales),Angel One (AP),Work from home,Yes,"₹ 2,000 - 20,000 /month",2000,20000,N/A,N/A,https://internshala.com/internship/detail/work-from-home-business-development-sales-internship-at-angel-one-ap1776935256
Inside Sales,Angel One (AP),Work from home,Yes,"₹ 2,000 - 20,000 /month",2000,20000,N/A,N/A,https://internshala.com/internship/detail/work-from-home-inside-sales-internship-at-angel-one-ap1776930891
Content Acquisition,Hungama Digital Media Entertainment Private Limited,Mumbai,No,"₹ 5,000 /month",5000,5000,N/A,N/A,https://internshala.com/internship/detail/content-acquisition-internship-in-mumbai-at-hungama-digital-media-entertainment-private-limited1776929381
Content Writing,Hungama Digital Media Entertainment Private Limited,Mumbai,No,"₹ 5,000 /month",5000,5000,N/A,N/A,https://internshala.com/internship/detail/content-writing-internship-in-mumbai-at-hungama-digital-media-entertainment-private-limited1776928742
Finance & Accounting,MJSN & Co LLP,Gurgaon,No,"₹ 8,000 - 12,000 /month",8000,12000,N/A,N/A,https://internshala.com/internship/detail/finance-accounting-internship-in-gurgaon-at-mjsn-co-llp1776928032
Digital Marketing – LinkedIn Marketing,Institute Of Digital Risk,Work from home,Yes,"₹ 15,000 - 20,000 /month",15000,20000,N/A,N/A,https://internshala.com/internship/detail/work-from-home-digital-marketing--linkedin-marketing-internship-at-institute-of-digital-risk1776855367
"Outreach: Mangrove Conservation Project, WWF-India, MSO",WWF-India,"Thane, Navi Mumbai, Mumbai",No,"₹ 8,000 - 10,000 /month",8000,10000,N/A,N/A,https://internshala.com/internship/detail/outreach-mangrove-conservation-project-wwf-india-mso-internship-in-multiple-locations-at-wwf-india1776852549
Business Strategy,Foundit India (formerly Monster APAC & ME),Noida,No,"₹ 15,000 - 20,000 /month",15000,20000,N/A,N/A,https://internshala.com/internship/detail/business-strategy-internship-in-noida-at-foundit-india-formerly-monster-apac-me1776839762
Computer Science (AI) - Subject Matter Expert (SME),Arihant Publications,"Ghaziabad, Greater Noida, Noida",No,"₹ 10,000 - 12,000 /month",10000,12000,N/A,N/A,https://internshala.com/internship/detail/computer-science-ai-subject-matter-expert-sme-internship-in-multiple-locations-at-arihant-publications1776830747
Sales and Marketing,Pinnacle Teleservices Private Limited,"Chennai, Gurgaon, Pune, Hyderabad, Mumbai, Bangalore",No,"₹ 10,000 - 15,000 /month",10000,15000,N/A,N/A,https://internshala.com/internship/detail/sales-and-marketing-internship-in-multiple-locations-at-pinnacle-teleservices-private-limited1776785257
MERN Stack Development,FileSure India Private Limited,Work from home,Yes,"₹ 5,000 /month",5000,5000,N/A,N/A,https://internshala.com/internship/detail/work-from-home-mern-stack-development-internship-at-filesure-india-private-limited1776781272
Generative AI Content Creator,Greater Than Educational Technologies,Hyderabad,No,"₹ 15,000 - 25,000 /month",15000,25000,N/A,N/A,https://internshala.com/internship/detail/generative-ai-content-creator-internship-in-hyderabad-at-greater-than-educational-technologies1776751666
Human Resources (HR),Team Management Services (TMS),"Thane, Navi Mumbai, Dombivli, Kalyan, Mumbai, Sion Koliwada, Kurla",No,"₹ 7,000 - 10,000 /month",7000,10000,N/A,N/A,https://internshala.com/internship/detail/human-resources-hr-internship-in-multiple-locations-at-team-management-services-tms1776744229
Industrial And Production Engineering,Belrise Industries Limited,Sriperumbudur,No,"₹ 10,000 /month",10000,10000,N/A,N/A,https://internshala.com/internship/detail/industrial-and-production-engineering-internship-in-sriperumbudur-at-belrise-industries-limited1776670572
CA Article Assistant,Malkan Shah And Co. Chartered Accountants,Ahmedabad,No,"₹ 9,000 - 11,000 /month",9000,11000,N/A,N/A,https://internshala.com/internship/detail/ca-article-assistant-internship-in-ahmedabad-at-malkan-shah-and-co-chartered-accountants1776435129
Business Development (Sales),Pallonji’s,Mumbai,No,"₹ 9,500 - 20,000 /month",9500,20000,N/A,N/A,https://internshala.com/internship/detail/business-development-sales-internship-in-mumbai-at-pallonjis1776411006
Digital Marketing,Evolve Back Resorts,Bangalore,No,"₹ 5,999 - 6,000 /month",5999,6000,N/A,1 week ago,https://internshala.com/internship/detail/digital-marketing-internship-in-bangalore-at-evolve-back-resorts1776337937
Business Development (Sales),Zebronics India Private Limited,"Ahmedabad, Chandigarh, Delhi, Ghaziabad, Indore, Ludhiana, Lucknow, Patna, Pune, Hyderabad, Bhopal, Mumbai, Noida, Raipur, Nagpur",No,"₹ 7,001 - 7,502 lump sum",7001,7502,N/A,1 week ago,https://internshala.com/internship/detail/business-development-sales-internship-in-multiple-locations-at-zebronics-india-private-limited1776318903
AI Operations,Paracoat Products Limited,Gurgaon,No,"₹ 20,000 - 30,000 /month",20000,30000,N/A,1 week ago,https://internshala.com/internship/detail/ai-operations-internship-in-gurgaon-at-paracoat-products-limited1776313810
Human Resources (HR),Katalyst Software Services Limited,Pune,No,"₹ 5,000 - 8,000 /month",5000,8000,N/A,1 week ago,https://internshala.com/internship/detail/human-resources-hr-internship-in-pune-at-katalyst-software-services-limited1776258461
Company Secretary (CS),Indifi Technologies Private Limited,Gurgaon,No,"₹ 10,000 - 15,000 /month",10000,15000,N/A,1 week ago,https://internshala.com/internship/detail/company-secretary-cs-internship-in-gurgaon-at-indifi-technologies-private-limited1776251021
Business Development (Sales),Shunya Digital,Work from home,Yes,"₹ 3,099 - 5,000 /month",3099,5000,N/A,1 week ago,https://internshala.com/internship/detail/work-from-home-business-development-sales-internship-at-shunya-digital1776256619
Cold Calling & Secondary Research,WWF-India,Delhi,No,Unpaid,0,0,N/A,1 week ago,https://internshala.com/internship/detail/cold-calling-secondary-research-internship-in-delhi-at-wwf-india1776243844
International Business Development,March26 Limited,Work from home,Yes,"₹ 10,000 /month",10000,10000,N/A,1 week ago,https://internshala.com/internship/detail/work-from-home-part-time-international-business-development-internship-at-march26-limited1776168722
Social Media Marketing,Polar Lifestyle Pvt Ltd,Mumbai,No,"₹ 17,000 - 27,500 /month",17000,27500,N/A,1 week ago,https://internshala.com/internship/detail/social-media-marketing-internship-in-mumbai-at-polar-lifestyle-pvt-ltd1776167924
Digital Marketing,Paracoat Products Limited,Gurgaon,No,"₹ 15,000 /month",15000,15000,N/A,1 week ago,https://internshala.com/internship/detail/digital-marketing-internship-in-gurgaon-at-paracoat-products-limited1776167801
Sales,Paracoat Products Limited,Gurgaon,No,"₹ 15,000 - 15,001 /month",15000,15001,N/A,1 week ago,https://internshala.com/internship/detail/sales-internship-in-gurgaon-at-paracoat-products-limited1776167058
